"Nhom hang","Gia tri","Thang/Nam"
"Chi so do la My","100.05","2016-04-01"
"Chi so gia tieu dung","100.14","2015-04-01"
"Chi so gia vang","98.96","2015-04-01"
"Chi so do la My","100.74","2015-04-01"
"Chi so gia tieu dung","100.08","2014-04-01"
"Chi so gia vang","98.96","2014-04-01"
"Chi so do la My","99.94","2014-04-01"
"Chi so gia tieu dung","100.02","2013-04-01"
"Chi so gia vang","97.44","2013-04-01"
"Chi so do la My","100.01","2013-04-01"
"Chi so gia tieu dung","100.01","2023-05-01"
"Chi so gia vang","101.02","2023-05-01"
"Chi so do la My","99.89","2023-05-01"
"Chi so gia tieu dung","100.38","2022-05-01"
"Chi so gia vang","99.48","2022-05-01"
"Chi so do la My","100.65","2022-05-01"
"Chi so gia tieu dung","100.16","2021-05-01"
"Chi so gia vang","101.68","2021-05-01"
"Chi so do la My","99.79","2021-05-01"
"Chi so gia tieu dung","99.97","2020-05-01"
"Chi so gia vang","102.41","2020-05-01"
"Chi so do la My","99.59","2020-05-01"
"Chi so gia tieu dung","100.49","2019-05-01"
"Chi so gia vang","99.5","2019-05-01"
"Chi so do la My","100.45","2019-05-01"
"Chi so gia tieu dung","100.55","2018-05-01"
"Chi so gia vang","99.25","2018-05-01"
"Chi so do la My","99.94","2018-05-01"
"Chi so gia tieu dung","99.47","2017-05-01"
"Chi so gia vang","99.9","2017-05-01"
"Chi so do la My","99.97","2017-05-01"
"Chi so gia tieu dung","100.54","2016-05-01"
"Chi so gia vang","101.45","2016-05-01"
"Chi so do la My","99.9","2016-05-01"
"Chi so gia tieu dung","100.16","2015-05-01"
"Chi so gia vang","99.73","2015-05-01"
"Chi so do la My","100.36","2015-05-01"
"Chi so gia tieu dung","100.2","2014-05-01"
"Chi so gia vang","99.15","2014-05-01"
"Chi so do la My","99.96","2014-05-01"
"Chi so gia tieu dung","99.94","2013-05-01"
"Chi so gia vang","95.38","2013-05-01"
"Chi so do la My","100.21","2013-05-01"
"Chi so gia tieu dung","100.27","2023-06-01"
"Chi so gia vang","99.36","2023-06-01"
"Chi so do la My","100.14","2023-06-01"
"Chi so gia tieu dung","100.69","2022-06-01"
"Chi so gia vang","98.86","2022-06-01"
"Chi so do la My","100.72","2022-06-01"
"Chi so gia tieu dung","100.19","2021-06-01"
"Chi so gia vang","101.12","2021-06-01"
"Chi so do la My","99.7","2021-06-01"
"Chi so gia tieu dung","100.66","2020-06-01"
"Chi so gia vang","101.71","2020-06-01"
"Chi so do la My","99.42","2020-06-01"
"Chi so gia tieu dung","99.91","2019-06-01"
"Chi so gia vang","101.98","2019-06-01"
"Chi so do la My","100.3","2019-06-01"
"Chi so gia tieu dung","100.61","2018-06-01"
"Chi so gia vang","99.21","2018-06-01"
"Chi so do la My","100.2","2018-06-01"
"Chi so gia tieu dung","99.83","2017-06-01"
"Chi so gia vang","100.25","2017-06-01"
"Chi so do la My","99.93","2017-06-01"
"Chi so gia tieu dung","100.46","2016-06-01"
"Chi so gia vang","99.99","2016-06-01"
"Chi so do la My","100.09","2016-06-01"
"Chi so gia tieu dung","100.35","2015-06-01"
"Chi so gia vang","99.92","2015-06-01"
"Chi so do la My","100.62","2015-06-01"
"Chi so gia tieu dung","100.3","2014-06-01"
"Chi so gia vang","99.88","2014-06-01"
"Chi so do la My","100.49","2014-06-01"
"Chi so gia tieu dung","100.05","2013-06-01"
"Chi so gia vang","95.89","2013-06-01"
"Chi so do la My","100.26","2013-06-01"
"Chi so gia tieu dung","100.45","2023-07-01"
"Chi so gia vang","99.97","2023-07-01"
"Chi so do la My","100.53","2023-07-01"
"Chi so gia tieu dung","100.4","2022-07-01"
"Chi so gia vang","97.61","2022-07-01"
"Chi so do la My","100.62","2022-07-01"
"Chi so gia tieu dung","100.62","2021-07-01"
"Chi so gia vang","98.61","2021-07-01"
"Chi so do la My","100.09","2021-07-01"
"Chi so gia tieu dung","100.4","2020-07-01"
"Chi so gia vang","103.49","2020-07-01"
"Chi so do la My","99.77","2020-07-01"
"Chi so gia tieu dung","100.18","2019-07-01"
"Chi so gia vang","104.79","2019-07-01"
"Chi so do la My","99.5","2019-07-01"
"Chi so gia tieu dung","99.91","2018-07-01"
"Chi so gia vang","98.43","2018-07-01"
"Chi so do la My","100.84","2018-07-01"
"Chi so gia tieu dung","100.11","2017-07-01"
"Chi so gia vang","99.12","2017-07-01"
"Chi so do la My","100.09","2017-07-01"
"Chi so gia tieu dung","100.13","2016-07-01"
"Chi so gia vang","105.36","2016-07-01"
"Chi so do la My","99.79","2016-07-01"
"Chi so gia tieu dung","100.13","2015-07-01"
"Chi so gia vang","98.76","2015-07-01"
"Chi so do la My","100.09","2015-07-01"
"Chi so gia tieu dung","100.23","2014-07-01"
"Chi so gia vang","101.38","2014-07-01"
"Chi so do la My","100.36","2014-07-01"
"Chi so gia tieu dung","100.27","2013-07-01"
"Chi so gia vang","93.72","2013-07-01"
"Chi so do la My","100.68","2013-07-01"
"Chi so gia tieu dung","100.88","2023-08-01"
"Chi so gia vang","100.64","2023-08-01"
"Chi so do la My","100.57","2023-08-01"
"Chi so gia tieu dung","100","2022-08-01"
"Chi so gia vang","99.1","2022-08-01"
"Chi so do la My","100.18","2022-08-01"
"Chi so gia tieu dung","100.25","2021-08-01"
"Chi so gia vang","99.51","2021-08-01"
"Chi so do la My","99.56","2021-08-01"
"Chi so gia tieu dung","100.07","2020-08-01"
"Chi so gia vang","109.86","2020-08-01"
"Chi so do la My","99.93","2020-08-01"
"Chi so gia tieu dung","100.28","2019-08-01"
"Chi so gia vang","104.61","2019-08-01"
"Chi so do la My","99.83","2019-08-01"
"Chi so gia tieu dung","100.45","2018-08-01"
"Chi so gia vang","98.59","2018-08-01"
"Chi so do la My","101.12","2018-08-01"
"Chi so gia tieu dung","100.92","2017-08-01"
"Chi so gia vang","101.11","2017-08-01"
"Chi so do la My","99.97","2017-08-01"
"Chi so gia tieu dung","100.1","2016-08-01"
"Chi so gia vang","101.72","2016-08-01"
"Chi so do la My","99.95","2016-08-01"
"Chi so gia tieu dung","99.93","2015-08-01"
"Chi so gia vang","96.08","2015-08-01"
"Chi so do la My","100.31","2015-08-01"
"Chi so gia tieu dung","100.22","2014-08-01"
"Chi so gia vang","99.66","2014-08-01"
"Chi so do la My","99.74","2014-08-01"
"Chi so gia tieu dung","100.83","2013-08-01"
"Chi so gia vang","100.32","2013-08-01"
"Chi so do la My","100.06","2013-08-01"
"Chi so gia tieu dung","101.08","2023-09-01"
"Chi so gia vang","100.94","2023-09-01"
"Chi so do la My","101.53","2023-09-01"
"Chi so gia tieu dung","100.4","2022-09-01"
"Chi so gia vang","98.29","2022-09-01"
"Chi so do la My","100.53","2022-09-01"
"Chi so gia tieu dung","99.38","2021-09-01"
"Chi so gia vang","100","2021-09-01"
"Chi so do la My","99.52","2021-09-01"
"Chi so gia tieu dung","100.12","2020-09-01"
"Chi so gia vang","99.67","2020-09-01"
"Chi so do la My","99.95","2020-09-01"
"Chi so gia tieu dung","100.32","2019-09-01"
"Chi so gia vang","103.25","2019-09-01"
"Chi so do la My","99.89","2019-09-01"
"Chi so gia tieu dung","100.59","2018-09-01"
"Chi so gia vang","99.03","2018-09-01"
"Chi so do la My","100.16","2018-09-01"
"Chi so gia tieu dung","100.59","2017-09-01"
"Chi so gia vang","102.61","2017-09-01"
"Chi so do la My","100.03","2017-09-01"
"Chi so gia tieu dung","100.54","2016-09-01"
"Chi so gia vang","99.64","2016-09-01"
"Chi so do la My","100.07","2016-09-01"
"Chi so gia tieu dung","99.79","2015-09-01"
"Chi so gia vang","103.54","2015-09-01"
"Chi so do la My","102.71","2015-09-01"
"Chi so gia tieu dung","100.4","2014-09-01"
"Chi so gia vang","98.34","2014-09-01"
"Chi so do la My","99.85","2014-09-01"
"Chi so gia tieu dung","101.06","2013-09-01"
"Chi so gia vang","101.97","2013-09-01"
"Chi so do la My","99.74","2013-09-01"
"Chi so gia tieu dung","100.08","2023-10-01"
"Chi so gia vang","100.92","2023-10-01"
"Chi so do la My","101.2","2023-10-01"
"Chi so gia tieu dung","100.15","2022-10-01"
"Chi so gia vang","100.5","2022-10-01"
"Chi so do la My","101.84","2022-10-01"
"Chi so gia tieu dung","99.8","2021-10-01"
"Chi so gia vang","99.79","2021-10-01"
"Chi so do la My","99.94","2021-10-01"
"Chi so gia tieu dung","100.09","2020-10-01"
"Chi so gia vang","98.9","2020-10-01"
"Chi so do la My","100.07","2020-10-01"
"Chi so gia tieu dung","100.59","2019-10-01"
"Chi so gia vang","99.43","2019-10-01"
"Chi so do la My","100.03","2019-10-01"
"Chi so gia tieu dung","100.33","2018-10-01"
"Chi so gia vang","100.12","2018-10-01"
"Chi so do la My","100.2","2018-10-01"
"Chi so gia tieu dung","100.41","2017-10-01"
"Chi so gia vang","99.12","2017-10-01"
"Chi so do la My","99.97","2017-10-01"
"Chi so gia tieu dung","100.83","2016-10-01"
"Chi so gia vang","98.31","2016-10-01"
"Chi so do la My","100.07","2016-10-01"
"Chi so gia tieu dung","100.11","2015-10-01"
"Chi so gia vang","99.95","2015-10-01"
"Chi so do la My","99.84","2015-10-01"
"Chi so gia tieu dung","100.11","2014-10-01"
"Chi so gia vang","97.18","2014-10-01"
"Chi so do la My","100.18","2014-10-01"
"Chi so gia tieu dung","100.49","2013-10-01"
"Chi so gia vang","97.13","2013-10-01"
"Chi so do la My","99.82","2013-10-01"
"Chi so gia tieu dung","100.25","2023-11-01"
"Chi so gia vang","102.77","2023-11-01"
"Chi so do la My","100.05","2023-11-01"
"Chi so gia tieu dung","100.39","2022-11-01"
"Chi so gia vang","101.82","2022-11-01"
"Chi so do la My","102.91","2022-11-01"
